Molecule name: OH
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   5.2933e-02 cm-3
nb of mol levels    24

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	2
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1.5  1.5  0    1     -> 0    1.5  1.5  0    -1   1.7213184e+09  

mean inv       1.699e-03
mean gain      1.849e-17 cm-1
optical depth  2.719e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.935e+01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        3.383e-02    1.143e-16    0.000e+00    
2.097e-02        3.417e-02    1.154e-16    0.000e+00    
4.360e-02        3.644e-02    1.231e-16    0.000e+00    
7.662e-02        4.602e-02    1.555e-16    0.000e+00    
9.685e-02        5.751e-02    1.943e-16    0.000e+00    
1.022e-01        5.410e-02    1.828e-16    0.000e+00    
1.092e-01        5.737e-02    1.939e-16    0.000e+00    
1.161e-01        5.357e-02    1.810e-16    0.000e+00    
1.215e-01        5.034e-02    1.702e-16    0.000e+00    
1.271e-01        -1.578e-03   -5.336e-18   0.000e+00    
1.317e-01        -1.586e-03   -5.360e-18   0.000e+00    
1.354e-01        -1.615e-03   -5.459e-18   0.000e+00    
1.396e-01        -1.670e-03   -5.645e-18   0.000e+00    
1.437e-01        -1.691e-03   -5.716e-18   0.000e+00    
1.477e-01        -1.691e-03   -5.716e-18   0.000e+00    
1.518e-01        -1.705e-03   -5.763e-18   0.000e+00    
1.558e-01        -1.720e-03   -5.814e-18   0.000e+00    
1.598e-01        -1.710e-03   -5.780e-18   0.000e+00    
1.641e-01        -1.724e-03   -5.826e-18   0.000e+00    
1.685e-01        -1.678e-03   -5.667e-18   0.000e+00    
1.729e-01        -1.682e-03   -5.677e-18   0.000e+00    
1.781e-01        -1.787e-03   -6.030e-18   0.000e+00    
1.835e-01        -1.788e-03   -6.024e-18   0.000e+00    
1.882e-01        -1.912e-03   -6.432e-18   0.000e+00    
1.925e-01        -1.988e-03   -6.668e-18   0.000e+00    
1.970e-01        -2.214e-03   -7.405e-18   0.000e+00    
2.014e-01        -2.657e-03   -8.840e-18   0.000e+00    
2.061e-01        -3.338e-03   -1.102e-17   0.000e+00    
2.106e-01        -4.634e-03   -1.511e-17   0.000e+00    
2.146e-01        -6.166e-03   -1.981e-17   0.000e+00    
2.185e-01        -8.012e-03   -2.527e-17   0.000e+00    
2.224e-01        -9.786e-03   -3.022e-17   0.000e+00    
2.264e-01        -1.154e-02   -3.477e-17   0.000e+00    
2.303e-01        -1.356e-02   -3.963e-17   0.000e+00    
2.326e-01        -1.568e-02   -4.423e-17   0.000e+00    
2.341e-01        -1.596e-02   -4.455e-17   0.000e+00    
2.372e-01        -1.660e-02   -4.500e-17   0.000e+00    
2.412e-01        -1.761e-02   -4.440e-17   0.000e+00    
2.451e-01        -1.849e-02   -4.076e-17   0.000e+00    
2.490e-01        -1.979e-02   -3.104e-17   0.000e+00    
2.531e-01        -2.181e-02   -1.601e-17   0.000e+00    
2.573e-01        -2.295e-02   -7.496e-18   0.000e+00    
2.615e-01        -2.277e-02   -6.498e-18   0.000e+00    
2.661e-01        -2.283e-02   -3.899e-18   0.000e+00    
2.712e-01        -2.287e-02   -1.281e-18   0.000e+00    
2.766e-01        -2.247e-02   -2.705e-19   0.000e+00    
2.817e-01        -2.170e-02   -9.604e-20   0.000e+00    
2.862e-01        -2.092e-02   -8.581e-20   0.000e+00    
2.906e-01        -2.023e-02   -9.099e-20   0.000e+00    
2.955e-01        -1.949e-02   -9.867e-20   0.000e+00    
3.003e-01        -1.866e-02   -1.080e-19   0.000e+00    
3.044e-01        -1.804e-02   -1.156e-19   0.000e+00    
3.085e-01        -1.749e-02   -1.230e-19   0.000e+00    
3.128e-01        -1.694e-02   -1.312e-19   0.000e+00    
3.177e-01        -1.643e-02   -1.397e-19   0.000e+00    
3.232e-01        -1.585e-02   -1.512e-19   0.000e+00    
3.288e-01        -1.532e-02   -1.647e-19   0.000e+00    
