Molecule name: ch3oh_a
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   3.7502e-02 cm-3
nb of mol levels    768

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	16
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1    -1   0    0     -> 0    1    1    0    0    8.3428554e+08  

mean inv       4.900e-04
mean gain      1.371e-18 cm-1
optical depth  1.484e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -1.261e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        3.016e-05    3.270e-23    0.000e+00    
2.097e-02        2.157e-05    2.339e-23    0.000e+00    
4.360e-02        8.196e-06    8.886e-24    0.000e+00    
7.662e-02        -7.598e-06   -8.240e-24   0.000e+00    
9.685e-02        -1.570e-05   -1.707e-23   0.000e+00    
1.022e-01        -1.645e-05   -1.788e-23   0.000e+00    
1.092e-01        -1.719e-05   -1.871e-23   0.000e+00    
1.161e-01        -1.800e-05   -1.962e-23   0.000e+00    
1.215e-01        -1.850e-05   -2.020e-23   0.000e+00    
1.271e-01        -1.894e-05   -2.071e-23   0.000e+00    
1.317e-01        -1.926e-05   -2.111e-23   0.000e+00    
1.354e-01        -1.940e-05   -2.129e-23   0.000e+00    
1.396e-01        -1.966e-05   -2.161e-23   0.000e+00    
1.437e-01        -1.985e-05   -2.187e-23   0.000e+00    
1.477e-01        -1.990e-05   -2.198e-23   0.000e+00    
1.518e-01        -1.996e-05   -2.210e-23   0.000e+00    
1.558e-01        -2.002e-05   -2.222e-23   0.000e+00    
1.598e-01        -2.002e-05   -2.229e-23   0.000e+00    
1.641e-01        -1.987e-05   -2.219e-23   0.000e+00    
1.685e-01        -1.969e-05   -2.209e-23   0.000e+00    
1.729e-01        -1.936e-05   -2.181e-23   0.000e+00    
1.781e-01        -1.874e-05   -2.122e-23   0.000e+00    
1.835e-01        -1.772e-05   -2.018e-23   0.000e+00    
1.882e-01        -1.612e-05   -1.845e-23   0.000e+00    
1.925e-01        -1.431e-05   -1.645e-23   0.000e+00    
1.970e-01        -1.214e-05   -1.400e-23   0.000e+00    
2.014e-01        -9.435e-06   -1.091e-23   0.000e+00    
2.061e-01        -5.742e-06   -6.645e-24   0.000e+00    
2.106e-01        -8.550e-07   -9.879e-25   0.000e+00    
2.146e-01        3.495e-06    4.012e-24    0.000e+00    
2.185e-01        7.318e-06    8.338e-24    0.000e+00    
2.224e-01        1.119e-05    1.267e-23    0.000e+00    
2.264e-01        1.377e-05    1.565e-23    0.000e+00    
2.303e-01        1.582e-05    1.858e-23    0.000e+00    
2.326e-01        1.694e-05    2.154e-23    0.000e+00    
2.341e-01        1.697e-05    2.224e-23    0.000e+00    
2.372e-01        1.707e-05    2.455e-23    0.000e+00    
2.412e-01        1.735e-05    3.289e-23    0.000e+00    
2.451e-01        1.792e-05    5.968e-23    0.000e+00    
2.490e-01        1.894e-05    1.592e-22    0.000e+00    
2.531e-01        2.082e-05    4.499e-22    0.000e+00    
2.573e-01        2.413e-05    1.261e-21    0.000e+00    
2.615e-01        2.885e-05    3.005e-21    0.000e+00    
2.661e-01        3.527e-05    6.577e-21    0.000e+00    
2.712e-01        4.409e-05    1.399e-20    0.000e+00    
2.766e-01        5.529e-05    2.788e-20    0.000e+00    
2.817e-01        6.827e-05    5.048e-20    0.000e+00    
2.862e-01        8.057e-05    7.828e-20    0.000e+00    
2.906e-01        9.179e-05    1.090e-19    0.000e+00    
2.955e-01        1.046e-04    1.496e-19    0.000e+00    
3.003e-01        1.195e-04    2.042e-19    0.000e+00    
3.044e-01        1.304e-04    2.507e-19    0.000e+00    
3.085e-01        1.415e-04    2.993e-19    0.000e+00    
3.128e-01        1.522e-04    3.506e-19    0.000e+00    
3.177e-01        1.617e-04    3.997e-19    0.000e+00    
3.232e-01        1.729e-04    4.571e-19    0.000e+00    
3.288e-01        1.829e-04    5.088e-19    0.000e+00    
3.348e-01        1.915e-04    5.533e-19    0.000e+00    
3.410e-01        1.990e-04    5.901e-19    0.000e+00    
3.471e-01        2.055e-04    6.179e-19    0.000e+00    
3.529e-01        2.106e-04    6.386e-19    0.000e+00    
3.587e-01        2.155e-04    6.575e-19    0.000e+00    
3.636e-01        2.204e-04    6.763e-19    0.000e+00    
3.679e-01        2.239e-04    6.910e-19    0.000e+00    
3.729e-01        2.286e-04    7.121e-19    0.000e+00    
3.780e-01        2.345e-04    7.395e-19    0.000e+00    
3.824e-01        2.411e-04    7.732e-19    0.000e+00    
3.867e-01        2.470e-04    8.044e-19    0.000e+00    
3.910e-01        2.548e-04    8.482e-19    0.000e+00    
3.951e-01        2.614e-04    8.877e-19    0.000e+00    
3.992e-01        2.694e-04    9.386e-19    0.000e+00    
4.035e-01        2.785e-04    9.940e-19    0.000e+00    
4.069e-01        2.907e-04    1.072e-18    0.000e+00    
4.104e-01        2.953e-04    1.103e-18    0.000e+00    
