Molecule name: oNH3
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   1.2312e+00 cm-3
nb of mol levels    17

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	1
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    3    3    0    1     -> 0    3    3    0    0    2.3870075e+10  

mean inv       1.713e-05
mean gain      -1.394e-16 cm-1
optical depth  2.018e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.341e+03 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        -1.687e-05   -1.935e-19   0.000e+00    
2.097e-02        -1.722e-05   -1.974e-19   0.000e+00    
4.360e-02        -1.329e-05   -1.524e-19   0.000e+00    
7.662e-02        -6.773e-06   -7.766e-20   0.000e+00    
9.685e-02        3.309e-08    3.785e-22    0.000e+00    
1.022e-01        5.457e-08    6.247e-22    0.000e+00    
1.092e-01        2.104e-07    2.411e-21    0.000e+00    
1.161e-01        7.325e-07    8.396e-21    0.000e+00    
1.215e-01        1.313e-06    1.505e-20    0.000e+00    
1.271e-01        2.023e-06    2.318e-20    0.000e+00    
1.317e-01        3.133e-06    3.591e-20    0.000e+00    
1.354e-01        3.961e-06    4.539e-20    0.000e+00    
1.396e-01        5.040e-06    5.776e-20    0.000e+00    
1.437e-01        6.516e-06    7.466e-20    0.000e+00    
1.477e-01        8.018e-06    9.186e-20    0.000e+00    
1.518e-01        9.766e-06    1.119e-19    0.000e+00    
1.558e-01        1.194e-05    1.368e-19    0.000e+00    
1.598e-01        1.429e-05    1.637e-19    0.000e+00    
1.641e-01        1.691e-05    1.937e-19    0.000e+00    
1.685e-01        2.066e-05    2.367e-19    0.000e+00    
1.729e-01        2.425e-05    2.780e-19    0.000e+00    
1.781e-01        2.937e-05    3.367e-19    0.000e+00    
1.835e-01        3.641e-05    4.176e-19    0.000e+00    
1.882e-01        4.533e-05    5.200e-19    0.000e+00    
1.925e-01        5.403e-05    6.199e-19    0.000e+00    
1.970e-01        6.601e-05    7.572e-19    0.000e+00    
2.014e-01        8.334e-05    9.550e-19    0.000e+00    
2.061e-01        1.064e-04    1.215e-18    0.000e+00    
2.106e-01        1.435e-04    1.629e-18    0.000e+00    
2.146e-01        1.835e-04    2.066e-18    0.000e+00    
2.185e-01        2.262e-04    2.517e-18    0.000e+00    
