Molecule name: pNH3
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   6.1466e-01 cm-3
nb of mol levels    34

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	1
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    2    2    0    1     -> 0    2    2    0    0    2.3722577e+10  

mean inv       -1.946e-04
mean gain      -1.929e-16 cm-1
optical depth  0.000e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       0.000e+00 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        -2.156e-04   -3.931e-19   0.000e+00    
2.097e-02        -2.246e-04   -4.095e-19   0.000e+00    
4.360e-02        -2.450e-04   -4.465e-19   0.000e+00    
7.662e-02        -2.940e-04   -5.360e-19   0.000e+00    
9.685e-02        -3.600e-04   -6.563e-19   0.000e+00    
1.022e-01        -3.698e-04   -6.740e-19   0.000e+00    
1.092e-01        -3.817e-04   -6.956e-19   0.000e+00    
1.161e-01        -3.989e-04   -7.270e-19   0.000e+00    
1.215e-01        -4.101e-04   -7.473e-19   0.000e+00    
1.271e-01        -4.221e-04   -7.691e-19   0.000e+00    
1.317e-01        -4.348e-04   -7.922e-19   0.000e+00    
1.354e-01        -4.427e-04   -8.065e-19   0.000e+00    
1.396e-01        -4.517e-04   -8.231e-19   0.000e+00    
1.437e-01        -4.624e-04   -8.425e-19   0.000e+00    
1.477e-01        -4.718e-04   -8.593e-19   0.000e+00    
1.518e-01        -4.818e-04   -8.778e-19   0.000e+00    
1.558e-01        -4.926e-04   -8.973e-19   0.000e+00    
1.598e-01        -5.032e-04   -9.166e-19   0.000e+00    
1.641e-01        -5.139e-04   -9.360e-19   0.000e+00    
1.685e-01        -5.276e-04   -9.611e-19   0.000e+00    
1.729e-01        -5.395e-04   -9.831e-19   0.000e+00    
1.781e-01        -5.546e-04   -1.011e-18   0.000e+00    
1.835e-01        -5.723e-04   -1.044e-18   0.000e+00    
1.882e-01        -5.910e-04   -1.078e-18   0.000e+00    
1.925e-01        -6.057e-04   -1.105e-18   0.000e+00    
1.970e-01        -6.207e-04   -1.132e-18   0.000e+00    
2.014e-01        -6.354e-04   -1.158e-18   0.000e+00    
2.061e-01        -6.457e-04   -1.173e-18   0.000e+00    
2.106e-01        -6.494e-04   -1.172e-18   0.000e+00    
2.146e-01        -6.398e-04   -1.145e-18   0.000e+00    
2.185e-01        -6.094e-04   -1.078e-18   0.000e+00    
2.224e-01        -5.673e-04   -9.905e-19   0.000e+00    
2.264e-01        -5.129e-04   -8.819e-19   0.000e+00    
2.303e-01        -4.472e-04   -7.539e-19   0.000e+00    
2.326e-01        -3.848e-04   -6.354e-19   0.000e+00    
2.341e-01        -3.765e-04   -6.185e-19   0.000e+00    
2.372e-01        -3.553e-04   -5.804e-19   0.000e+00    
2.412e-01        -3.162e-04   -5.658e-19   0.000e+00    
2.451e-01        -2.817e-04   -7.388e-19   0.000e+00    
2.490e-01        -2.523e-04   -1.303e-18   0.000e+00    
2.531e-01        -2.285e-04   -2.428e-18   0.000e+00    
